ID	CA	ES	FR	EN	CAS	ACCIO_1	ACCIO_2	ACCIO_3
63	àcid ioglícic	ácido ioglícico	acide ioglicique	ioglicic acid	49755-67-1	emprat com a element de contrast en radiografia		
64	àcid iopanoic	ácido iopanoico	acide iopanoïque	iopanoic acid	96-83-3	emprat com a element de contrast en colecistocolangiografia		
65	àcid iotalàmic	ácido iotalámico	acide iotalamique	iotalamic acid	2276-90-6	emprat com a element de contrast		
66	àcid iotròxic	ácido iotróxico	acide iotroxique	iotroxic acid	51022-74-3	emprat com a element de contrast		
67	àcid ioxàglic	ácido ioxáglico	acide ioxaglique	ioxaglic acid	59017-64-0	emprat com a element de contrast		
68	àcid ioxitalàmic	ácido ioxitalámico	acide ioxitalamique	ioxitalamic acid	28179-44-4	emprat com a element de contrast		
69	àcid isospaglúmic	ácido isospaglúmico	acide isospaglumique	isospaglumic acid	3106-85-2	antial·lèrgic		
70	àcid meclofenàmic	ácido meclofenámico	acide méclofénamique	meclofenamic acid	644-62-2	analgèsic	antiinflamatori	antipirètic
71	àcid medrònic	ácido medrónico	acide médronique	medronic acid	1984-15-2	inhibidor de la resorció òssia		
72	àcid mefenàmic	ácido mefenámico	acide méfénamique	mefenamic acid	61-68-7	analgèsic	antiinflamatori	antipirètic
73	àcid micofenòlic	ácido micofenólico	acide mycophénolique	mycophenolic acid	24280-93-1	immunosupressor		
74	àcid nalidíxic	ácido nalidíxico	acide nalidixique	nalidixic acid	389-08-2	antiinfecciós quinolònic		
75	àcid neridrònic	ácido neridrónico	acide néridronique	neridronic acid	79778-41-9	inhibidor de la resorció òssia		
76	àcid nicotínic	ácido nicotínico	acide nicotinique	nicotinic acid	59-67-6	emprat en la prevenció i el tractament del dèficit de vitamines del complex B		
77	àcid niflúmic	ácido niflúmico	acide niflumique	niflumic acid	4394-00-7	analgèsic	antiinflamatori	
78	àcid obeticòlic	ácido obeticólico	acide obéticholique	obeticholic acid	459789-99-2	regulador dels àcids biliars		
79	àcid octanoic	ácido octanoico	acide octanoïque	octanoic acid	124-07-2	antifúngic		
80	àcid oròtic	ácido orótico	acide orotique	orotic acid	65-86-1	hepatoprotector	uricosúric	
81	àcid oxidrònic	ácido oxidrónico	acide oxidronique	oxidronic acid	15468-10-7	inhibidor de la resorció òssia		
82	àcid oxolínic	ácido oxolínico	acide oxolinique	oxolinic acid	14698-29-4	antiinfecciós quinolònic		
83	àcid pamidrònic	ácido pamidrónico	acide pamidronique	pamidronic acid	40391-99-9	inhibidor de la resorció òssia		
84	àcid pentètic	ácido pentético	acide pentétique	pentetic acid	67-43-6	antídot	quelant	
85	àcid pipemídic	ácido pipemídico	acide pipémidique	pipemidic acid	51940-44-4	antiinfecciós quinolònic		
86	àcid piromídic	ácido piromídico	acide piromidique	piromidic acid	19562-30-2	antiinfecciós quinolònic		
87	àcid quenodesoxicòlic	ácido quenodeoxicólico	acide chénodésoxycholique	chenodeoxycholic acid	474-25-9	antilitiàsic		
88	àcid tiaprofènic	ácido tiaprofénico	acide tiaprofénique	tiaprofenic acid	33005-95-7	analgèsic	antiinflamatori	antipirètic
89	àcid tienílic	ácido tienílico	acide tiénilique	tienilic acid	40180-04-9	diürètic		
90	àcid tiludrònic	ácido tiludrónico	acide tiludronique	tiludronic acid	89987-06-4	inhibidor de la resorció òssia		
91	àcid tolfenàmic	ácido tolfenámico	acide tolfénamique	tolfenamic acid	13710-19-5	antiinflamatori		
92	àcid tranexàmic	ácido tranexámico	acide tranexamique	tranexamic acid	1197-18-8	hemostàtic		
93	àcid ursodesoxicòlic	ácido ursodeoxicólico	acide ursodéoxycholique	ursodeoxycholic acid	128-13-2	antilitiàsic		
94	àcid valproic	ácido valproico	acide valproïque	valproic acid	99-66-1	antiepilèptic		
95	àcid zoledrònic	ácido zoledrónico	acide zolédronique	zoledronic acid	118072-93-8	inhibidor de la resorció òssia		
96	acipimox	acipimox	acipimox	acipimox	51037-30-0	antihiperlipèmic		
97	acitretina	acitretina	acitrétine	acitretin	55079-83-9	antipsoriàsic	queratolític	
98	aclarubicina	aclarubicina	aclarubicine	aclarubicin	57576-44-0	antibiòtic antraciclínic	antineoplàstic	
99	acrivastina	acrivastina	acrivastine	acrivastine	87848-99-5	antihistamínic H1		
100	actarit	actarit	actarit	actarit	18699-02-0	analgèsic	antiinflamatori	
101	actinoquinol	actinoquinol	actinoquinol	actinoquinol	15301-40-3	protector ocular		
102	adalimumab	adalimumab	adalimumab	adalimumab	331731-18-1	immunomodulador		
103	adapalè	adapaleno	adapalène	adapalene	106685-40-9	antiacneic	queratolític	
104	adefovir	adefovir	adéfovir	adefovir	106941-25-7	antivíric		
105	ademetionina	ademetionina	adémétionine	ademetionine	17176-17-9	analgèsic	antireumàtic	
106	adifenina	adifenina	adiphénine	adiphenine	64-95-9	antiespasmòdic		
107	adipiodona	adipiodona	adipiodone	adipiodone	606-17-7	emprat com a element de contrast en colecistocolangiografia		
108	adrafinil	adrafinilo	adrafinil	adrafinil	63547-13-7	psicoestimulant		
109	adrenalona	adrenalona	adrénalone	adrenalone	99-45-6	hemostàtic	vasoconstrictor	
110	afamelanotida	afamelanotida	afamélanotide	afamelanotide	75921-69-6	agonista del receptor de la melacortina		
111	afatinib	afatinib	afatinib	afatinib	850140-72-6	antineoplàstic		
112	afelimomab	afelimomab	afélimomab	afelimomab		immunomodulador inhibidor del factor de necrosi tumoral		
113	aflibercept	aflibercept	aflibercept	aflibercept	862111-32-8	agent antineovascularització		
114	afloqualona	aflocualona	afloqualone	afloqualone	56287-74-2	blocador neuromuscular		
115	afuresertib	afuresertib	afurésertib	afuresertib	1047644-62-1	antineoplàstic		
116	agalsidasa beta	agalsidasa beta	agalsidasa bêta	agalsidasa beta	104138-64-9	enzim glucolipolític		
117	agomelatina	agomelatina	agomélatine	agomelatine	138112-76-2	antidepressiu		
118	alacepril	alacepril	alacépril	alacepril	74258-86-9	antihipertensor		
119	alanina	alanina	alanine	alanine	56-41-7	aminoàcid		
120	alatrofloxacina	alatrofloxacino	alatrofloxacine	alatrofloxacin	157182-32-6	antibiòtic fluoroquinolònic		
121	albiglutida	albiglutida	albiglutide	albiglutide	782500-75-8	antidiabètic		
122	albutrepenonacog alfa	albutrepenonacog alfa	albutrépénonacog alfa	albutrepenonacog alfa	1357448-54-4	factor de la coagulació sanguínia		
123	alclometasona	alclometasona	alclométasone	alclometasone	67452-97-5	antiinflamatori		
124	alcloxa	alcloxa	alcloxa	alcloxa	1317-25-5	astringent	queratolític	
125	alcohol benzílic	alcohol bencílico	alcool benzylique	benzyl alcohol	100-51-6	anestèsic local	desinfectant	
126	aldesleukina	aldesleukina	aldesleukine	aldesleukin		immunoestimulant		
127	aldioxa	aldioxa	aldioxa	aldioxa	5579-81-7	astringent	queratolític	
128	aldosterona	aldosterona	aldostérone	aldosterone	52-39-1	mineralocorticoide		
129	alectinib	alectinib	alectinib	alectinib	1256580-46-7	antineoplàstic	inhibidor de la tirosina-cinasa	
130	alefacept	alefacept	aléfacept	alefacept	222535-22-0	antipsoriàsic		
131	aleglitazar	aleglitazar	aléglitazar	aleglitazar	475479-34-6	hipoglucemiant oral		
132	alemtuzumab	alemtuzumab	alemtuzumab	alemtuzumab	216503-57-0	antineoplàstic	immunomodulador	
133	alendronat de sodi	alendronato sódico	alendronate sodique	alendronate sodium	66376-36-1	hipocalcemiant	inhibidor de la resorció òssia	
134	alexitol sòdic	alexitol de sodio	alexitol sodique	alexitol sodium	66813-51-2	antiàcid		
135	alfacalcidol	alfacalcidol	alfacalcidol	alfacalcidol	41294-56-8	emprat en la prevenció i el tractament del dèficit de vitamina D		
136	alfadex	alfadex	alfadex	alfadex	10016-20-3	coadjuvant farmacèutic		
137	alfadolona	alfadolona	alfadolone	alfadolone	14107-37-0	anestèsic intravenós		
138	alfaprostol	alfaprostol	alfaprostol	alfaprostol	74176-31-1	prostaglandina		
139	alfaxalona	alfaxalona	alfaxalone	alfaxalone	23930-19-0	anestèsic intravenós		
140	alfentanil	alfentanilo	alfentanil	alfentanil	71195-58-9	analgèsic		
141	alfoscerat de colina	alfoscerato de colina	alfoscérate de choline	choline alfoscerate	28319-77-9	precursor de l'acetilcolina		
142	alfuzosina	alfuzosina	alfuzosine	alfuzosin	81403-80-7	antihipotensor	blocador d'adrenoreceptors beta	
143	algestona	algestona	algestone	algestone	595-77-7	antiinflamatori		
144	alglucerasa	alglucerasa	alglucérase	alglucerase	143003-46-7	glicoproteïna		
145	alglucosidasa alfa	alglucosidasa alfa	alglucosidase alfa	alglucosidase alfa	420784-05-0	enzim glucolipolític		
146	alibendol	alibendol	alibendol	alibendol	26750-81-2	colerètic		
147	alimemazina	alimemazina	alimémazine	alimemazine	84-96-8	antihistamínic H1	neurolèptic	
148	alirocumab	alirocumab	alirocumab	alirocumab	1245916-14-6	immunomodulador		
149	aliskirèn	aliskireno	aliskirène	aliskiren	173334-57-1	antihipertensor		
150	alitretinoïna	alitretinoína	alitrétinoïne	alitretinoin	5300-03-8	antineoplàstic	queratolític	
151	alizaprida	alizaprida	alizapride	alizapride	59338-93-1	antiemètic		
152	al·lilestrenol	alilestrenol	allylestrénol	allylestrenol	432-60-0	progestagen		
153	al·lobarbital	alobarbital	allobarbital	allobarbital	52-43-7	hipnòtic sedant		
154	al·loclamida	aloclamida	alloclamide	alloclamide	5486-77-1	antitussigen		
155	al·lopurinol	alopurinol	allopurinol	allopurinol	315-30-0	uricostàtic		
156	almagat	almagato	almagate	almagate	66827-12-1	antiàcid		
157	almasilat	almasilato	almasilate	almasilate	71205-22-6	antiàcid		
158	alminoprofèn	alminoprofeno	alminoprofène	alminoprofen	39718-89-3	analgèsic	antiinflamatori	
159	almitrina	almitrina	almitrine	almitrine	27469-53-0	estimulant respiratori		
160	almotriptan	almotriptán	almotriptan	almotriptan	154323-57-6	antimigranyós		
161	alogliptina	alogliptina	alogliptine	alogliptin	850649-61-5	hipoglucemiant		
162	alosetró	alosetrón	alosétron	alosetron	122852-42-0	antagonista de la serotonina	antidiarreic	
163	aloxiprina	aloxiprina	aloxiprine	aloxiprin	9014-67-9	analgèsic	antipirètic	
164	alpiroprida	alpiroprida	alpiropride	alpiropride	81982-32-3	antimigranyós		
165	alprazolam	alprazolam	alprazolam	alprazolam	28981-97-7	tranquil·litzant		
166	alprenolol	alprenolol	alprénolol	alprenolol	13655-52-2	blocador d'adrenoreceptors beta		
167	alprostadil	alprostadil	alprostadil	alprostadil	745-65-3	autacoide	prostaglandina	vasodilatador
168	alteplasa	alteplasa	altéplase	alteplase	105857-23-6	anticoagulant	trombolític	
169	altizida	altizida	altizide	altizide	5588-16-9	diürètic tiazídic		
170	altrenogest	altrenogest	altrénogest	altrenogest	850-52-2	progestagen		
171	altretamina	altretamina	altrétamine	altretamine	645-05-6	antineoplàstic		
172	alverina	alverina	alvérine	alverine	150-59-4	antiespasmòdic		
173	alvimopan	alvimopán	alvimopan	alvimopan	156053-89-3	antagonista opioide perifèric		
174	amantadina	amantadina	amantadine	amantadine	768-94-5	antiparkinsonià	antivíric	
175	ambrisentan	ambrisentán	ambrisentan	ambrisentan	177036-94-1	antihipertensor pulmonar		
176	ambroxol	ambroxol	ambroxol	ambroxol	18683-91-5	expectorant		
177	ambucetamida	ambucetamida	ambucétamide	ambucetamide	519-88-0	antiespasmòdic		
178	amcinonida	amcinonida	amcinonide	amcinonide	51022-69-6	glucocorticoide		
179	amfepramona	amfepramona	amfépramone	amfepramone	90-84-6	amfetamina		
180	amfetamina	anfetamina	amfétamine	amfetamine	300-62-9	psicoestimulant		
181	amfetaminil	anfetaminilo	amfétaminil	amfetaminil	17590-01-1	psicoestimulant		
182	amfotericina B	amfotericina B	amphotéricine B	amphotericin B	1397-89-3	antibiòtic antifúngic		
183	amidotrizoat de sodi	amidotrizoato de sodio	amidotrizoate de sodium	sodium amidotrizoate	737-31-5	emprat com a element de contrast		
184	amifampridina	amifampridina	amifampridine	amifampridine	54-96-6	blocador dels canals del potassi		
185	amifenazole	amifenazol	amiphénazol	amiphenazole	490-55-1	analèptic		
186	amifostina	amifostina	amifostine	amifostine	20537-88-6	citoprotector		
187	amikacina	amikacina	amikacine	amikacin	37517-28-5	antibiòtic aminoglicosídic		
188	amikel·lina	amikelina	amikhelline	amikhelline	4439-67-2	antiespasmòdic		
189	amilmetacresol	amilmetacresol	amylmétacrésol	amylmetacresol	1300-94-3	antisèptic		
190	amilòmer	amilómero	amilomère	amilomer	42615-49-6	coadjuvant farmacèutic		
191	amilorida	amilorida	amiloride	amiloride	2609-46-3	diürètic estalviador de potassi		
192	amiloxat	amiloxato	amiloxate	amiloxate	71617-10-2	protector solar		
193	amineptina	amineptina	amineptine	amineptine	57574-09-1	antidepressiu tricíclic		
194	aminoacridina	aminoacridina	aminoacridine	aminoacridine	90-45-9	antisèptic	desinfectant	
195	aminofenazona	aminofenazona	aminophénazone	aminophenazone	58-15-1	analgèsic	antipirètic	
196	aminofil·lina	aminofilina	aminophylline	aminophylline	317-34-0	antiasmàtic	diürètic	
197	aminoglutetimida	aminoglutetimida	aminoglutéthimide	aminoglutethimide	125-84-8	antineoplàstic		
198	amiodarona	amiodarona	amiodarone	amiodarone	1951-25-3	vasodilatador coronari		
199	amisulprida	amisulprida	amisulpride	amisulpride	71675-85-9	antiespasmòdic	neurolèptic	
200	amitifadina	amitifadina	amitifadine	amitifadine	410074-73-6	antidepressiu		
201	amitraz	amitraz	amitraz	amitraz	33089-61-1	insecticida		
202	amitriptilina	amitriptilina	amitriptyline	amitriptyline	50-48-6	antidepressiu tricíclic		
203	amlexanox	amlexanoxo	amlexanox	amlexanox	68302-57-8	antial·lèrgic	broncodilatador	
204	amlodipina	amlodipino	amlodipine	amlodipine	88150-42-9	antihipertensor	blocador dels canals del calci	
205	amobarbital	amobarbital	amobarbital	amobarbital	57-43-2	hipnòtic sedant		
206	amocarzina	amocarzina	amocarzine	amocarzine	36590-19-9	antihelmíntic		
207	amodiaquina	amodiaquina	amodiaquine	amodiaquine	86-42-0	antipalúdic	antiprotozoari	
208	amorolfina	amorolfina	amorolfine	amorolfine	78613-35-1	antifúngic		
209	amosulalol	amosulalol	amosulalol	amosulalol	85320-68-9	blocador d'adrenoreceptors beta		
210	amoxapina	amoxapina	amoxapine	amoxapine	14028-44-5	antidepressiu tricíclic		
211	amoxicil·lina	amoxicilina	amoxicilline	amoxicillin	26787-78-0	antibiòtic penicil·línic sensible a la penicil·linasa		
212	ampicil·lina	ampicilina	ampicilline	ampicillin	69-53-4	antibiòtic penicil·línic sensible a la penicil·linasa		
213	ampiroxicam	ampiroxicam	ampiroxicam	ampiroxicam	99464-64-9	antiinflamatori		
214	amprenavir	amprenavir	amprénavir	amprenavir	161814-49-9	anti-VIH		
215	amrinona	amrinona	amrinone	amrinone	60719-84-8	cardiotònic		
216	amrubicina	amrubicina	amrubicine	amrubicin	110267-81-7	antineoplàstic		
217	amsacrina	amsacrina	amsacrine	amsacrine	51264-14-3	antineoplàstic		
218	amtolmetina guacil	amtolmetina guacilo	amtolmétine guacil	amtolmetin guacil	87344-06-7	analgèsic	antiinflamatori	
219	anagrelida	anagrelida	anagrélide	anagrelide	68475-42-3	inhibidor de la fosfodiesterasa		
220	anakinra	anakinra	anakinra	anakinra	143090-92-0	analgèsic	antiinflamatori	
221	anastrozole	anastrozol	anastrozole	anastrozole	120511-73-1	inhibidor de l'aromatasa		
222	ancestim	ancestim	ancestim	ancestim	163545-26-4	antianèmic		
223	ancrod	ancrod	ancrod	ancrod	9046-56-4	anticoagulant	trombolític	
224	andexanet alfa	andexanet alfa	andexanet alfa	andexanet alfa	1262449-58-0	agent de neutralització dels inhibidors del factor Xa		
225	androstanolona	androstanolona	androstanolone	androstanolone	521-18-6	anabolitzant		
226	angiotensinamida	angiotensinamida	angiotensinamide	angiotensinamide	53-73-6	agonista de l'angiotensina	antihipotensor	
227	anidulafungina	anidulafungina	anidulafungine	anidulafungin	166663-25-8	antifúngic		
228	anileridina	anileridina	aniléridine	anileridine	144-14-9	analgèsic opiaci		
229	aniracetam	aniracetam	aniracétam	aniracetam	72432-10-1	nootròpic		
230	anisindiona	anisindiona	anisindione	anisindione	117-37-3	antagonista de la vitamina K	anticoagulant	
231	anistreplasa	anistreplasa	anistreplase	anistreplase	81669-57-0	anticoagulant	trombolític	
232	antazolina	antazolina	antazoline	antazoline	91-75-8	antihistamínic H1		
233	antitrombina III	antitrombina III	antithrombine III	antithrombin III	52014-67-2	anticoagulant	antitrombòtic	
234	apafant	apafant	apafant	apafant	105219-56-5	inhibidor de l'agregació plaquetària		
235	apaflurà	apaflurano	apaflurane	apaflurane	431-89-0	propel·lent d'aerosols		
236	apitolisib	apitolisib	apitolisib	apitolisib	1032754-93-0	antineoplàstic		
237	apixaban	apixabán	apixaban	apixaban	503612-47-3	anticoagulant		
238	apolat de sodi	apolato de sodio	apolate de sodium	sodium apolate	25053-27-4	anticoagulant	inhibidor de l'agregació plaquetària	
239	apraclonidina	apraclonidina	apraclonidine	apraclonidine	66711-21-5	emprat en el tractament del glaucoma	simpaticomimètic	
240	apremilast	apremilast	aprémilast	apremilast	608141-41-9	antiinflamatori		
241	aprepitant	aprepitant	aprépitant	aprepitant	170729-80-3	antiemètic		
242	aprindina	aprindina	aprindine	aprindine	37640-71-4	antiarrítmic		
243	aprobarbital	aprobarbital	aprobarbital	aprobarbital	77-02-1	hipnòtic sedant		
244	aprotinina	aprotinina	aprotinine	aprotinin	9087-70-1	antifibrinolític	antihemorràgic	
245	aptiganel	aptiganel	aptiganel	aptiganel	137159-92-3	antagonista del glutamat		
246	aranidipina	aranidipino	aranidipine	aranidipine	86780-90-7	blocador dels canals del calci		
247	arbekacina	arbekacina	arbékacine	arbekacin	51025-85-5	antibiòtic aminoglicosídic		
248	arbutamina	arbutamina	arbutamine	arbutamine	128470-16-6	cardiotònic		
249	arcitumomab	arcitumomab	arcitumomab	arcitumomab	154361-48-5	anticòs monoclonal		
250	ardeparina sòdica	ardeparina de sodio	ardéparine sodique	ardeparin sodium	9041-08-1	anticoagulant		
251	argatroban	argatrobán	argatroban	argatroban	74863-84-6	anticoagulant	trombolític	
252	arginina	arginina	arginine	arginine	74-79-3	aminoàcid	hepatoprotector	
253	argipressina	argipresina	argipressine	argipressin	113-79-1	hormona antidiürètica	hormona pituïtària posterior	
254	aripiprazole	aripiprazol	aripiprazole	aripiprazole	129722-12-9	antipsicòtic		
255	arotinolol	arotinolol	arotinolol	arotinolol	68377-92-4	antiarrítmic		
256	artemèter	artemeter	artéméther	artemether	71963-77-4	antipalúdic		
257	artemisinina	artemisinina	artémisinine	artemisinin	63968-64-9	antipalúdic		
258	artemotil	artemotilo	artémotil	artemotil	75887-54-6	antipalúdic		
259	artesunat	artesunato	artésunate	artesunate	83507-69-1	antipalúdic		
260	articaïna	articaína	articaïne	articaine	23964-58-1	anestèsic local		
261	ascorbat de sodi	ascorbato de sodio	ascorbate de sodium	sodium ascorbate	134-03-2	factor vitamínic		
262	asenapina	asenapina	asénapine	asenapine	85650-56-2	psicoestimulant		
263	aspartam	aspartamo	aspartam	aspartame	22839-47-0	edulcorant		
264	aspoxicil·lina	aspoxicilina	aspoxicilline	aspoxicillin	63358-49-6	antibiòtic penicil·línic		
265	astemizole	astemizol	astémizole	astemizole	68844-77-9	antial·lèrgic		
266	astromicina	astromicina	astromicine	astromicin	55779-06-1	antibiòtic aminoglicosídic		
267	asunaprevir	asunaprevir	asunaprévir	asunaprevir	630420-16-5	antivíric		
268	atalurèn	atalureno	ataluren	ataluren	775304-57-9	regulador del desenvolupament cel·lular		
269	atazanavir	atazanavir	atazanavir	atazanavir	198904-31-3	anti-VIH		
270	atenolol	atenolol	aténolol	atenolol	29122-68-7	blocador d'adrenoreceptors beta		
271	atevirdina	atevirdina	atévirdine	atevirdine	136816-75-6	antiretroviral		
272	atezolizumab	atezolizumab	atézolizumab	atezolizumab	1380723-44-3	antineoplàstic	immunomodulador	
273	atipamezole	atipamezol	atipamézole	atipamezole	104054-27-5	antídot	quelant	
274	atomoxetina	atomoxetina	atomoxétine	atomoxetine	83015-26-3	inhibidor de la recaptació de noradrenalina		
275	atopaxar	atopaxar	atopaxar	atopaxar	751475-53-3	antitrombòtic		
276	atorvastatina	atorvastatina	atorvastatine	atorvastatin	134523-00-5	hipolipemiant		
277	atosiban	atosibán	atosiban	atosiban	90779-69-4	anàleg peptídic de l'oxitocina		
278	atovaquona	atovacuona	atovaquone	atovaquone	95233-18-4	antipalúdic		
279	auranofina	auranofina	auranofine	auranofin	34031-32-8	antireumàtic		
280	aurotiomalat de sodi	aurotiomalato de sodio	aurothiomalate de sodium	sodium aurothiomalate	1224457-4	antireumàtic		
281	aurotiosulfat de sodi	aurotiosulfato de sodio	aurotiosulfate de sodium	sodium aurotiosulfate	10210-36-3	antireumàtic		
282	avanafil	avanafilo	avanafil	avanafil	330784-47-9	vasodilatador		
283	avatrombopag	avatrombopag	avatrombopag	avatrombopag	570406-98-3	agonista del receptor de la trombopoetina		
284	avelumab	avelumab	avélumab	avelumab	1537032-82-8	antineoplàstic	immunomodulador	
285	aviptadil	aviptadil	aviptadil	aviptadil	40077-57-4	vasodilatador		
